quarter,job_vacancy_rate
1998-Q1,2.7
1998-Q2,2
1998-Q3,1.5
1998-Q4,1.3
1999-Q1,1.8
1999-Q2,2
1999-Q3,2.5
1999-Q4,2.3
2000-Q1,2.7
2000-Q2,3
2000-Q3,3.1
2000-Q4,2.2
2001-Q1,1.9
2001-Q2,1.7
2001-Q3,1.3
2001-Q4,1.2
2002-Q1,1.4
2002-Q2,1.6
2002-Q3,1.6
2002-Q4,1.2
2003-Q1,1.2
2003-Q2,1.2
2003-Q3,1.3
2003-Q4,1.3
2004-Q1,1.5
2004-Q2,1.5
2004-Q3,1.7
2004-Q4,1.5
2005-Q1,1.6
2005-Q2,1.8
2005-Q3,1.7
2005-Q4,1.7
2006-Q1,2
2006-Q2,2.5
2006-Q3,2.3
2006-Q4,2.4
2007-Q1,2.5
2007-Q2,2.7
2007-Q3,2.6
2007-Q4,2.7
2008-Q1,2.6
2008-Q2,2.7
2008-Q3,2.4
2008-Q4,1.7
2009-Q1,1.4
2009-Q2,1.6
2009-Q3,2.2
2009-Q4,2.1
2010-Q1,2.2
2010-Q2,2.7
2010-Q3,2.8
2010-Q4,2.5
2011-Q1,2.8
2011-Q2,3.1
2011-Q3,2.9
2011-Q4,2.7
2012-Q1,2.4
2012-Q2,2.5
2012-Q3,2.8
2012-Q4,2.2
2013-Q1,2.6
2013-Q2,2.6
2013-Q3,3
2013-Q4,2.8
2014-Q1,3
2014-Q2,3.1
2014-Q3,3.2
2014-Q4,2.9
2015-Q1,3
2015-Q2,2.9
2015-Q3,2.7
2015-Q4,2.4
2016-Q1,2.4
2016-Q2,2.4
2016-Q3,2.4
2016-Q4,2.2
2017-Q1,2.3
2017-Q2,2.5
2017-Q3,2.5
2017-Q4,2.3
2018-Q1,2.5
2018-Q2,2.8
2018-Q3,2.9
2018-Q4,2.7
2019-Q1,2.5
2019-Q2,2.5
2019-Q3,2.4
2019-Q4,2.3
2020-Q1,2.1
2020-Q2,2.1
2020-Q3,2.6
2020-Q4,2.6
2021-Q1,3.3
2021-Q2,4.9
2021-Q3,5.5
2021-Q4,5.2
2022-Q1,5.5
2022-Q2,5.6
2022-Q3,4.8
2022-Q4,4.5
2023-Q1,4.3
2023-Q2,3.9
2023-Q3,3.4
